aggression_value,matches,win_rate,avg_agent_score,avg_opponent_score,avg_turns,avg_agent_sp_spent,avg_agent_mp_spent,avg_agent_mp_wasted
0.0,10,1.0,8.3,4.1,100.0,432.0,950.0,0.0
0.1,10,0.8,7.1,8.3,99.5,434.4,944.4,0.0
0.2,10,0.3,7.3,23.1,97.8,448.0,925.0,0.0
0.3,10,0.0,4.2,43.4,60.6,338.0,472.0,0.0
0.4,10,1.0,48.3,12.9,43.2,236.2,422.0,7.13
0.5,10,1.0,44.0,2.6,33.4,168.6,303.6,6.6
0.6,10,0.9,49.4,28.8,24.8,174.4,206.5,8.21
0.7,10,0.0,9.6,40.7,16.3,102.1,177.5,0.0
0.8,10,0.1,10.9,37.2,24.7,104.2,314.1,0.0
0.9,10,0.0,13.2,45.6,13.3,80.1,145.6,0.0
1.0,10,0.0,10.2,46.8,11.0,70.0,118.6,0.0
